,p,c,r_g,R,g_fix_1,g_fix_2,g_mut_1,g_mut_2,gamma,Util_Port,Out_Risk,Out_Yield,Weights,POB-Base,MV_Base,V_Base,M_Base,POB-Mean,MV_Mean,V_Mean,M_Mean,POB-BeatBest,MV_BeatBest,V_BeatBest,M_BeatBest,POB-Adopt,MV_Adopt,V_Adopt,M_Adopt,POB-ClairvoyanceOp,MV_ClairvoyanceOp,V_ClairvoyanceOp,M_ClairvoyanceOp,Criterion1,Criterion2,Criterion3
10,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.0,-0.7,21.16206739944561,-0.7165069370154965,0.005055561170952925,-0.6630138738946336,"{'env_1': [0.4812564110878674, 1.5475829233715542e-10, 0.5187435887573746], 'env_2': [0.4812564110878674, 1.5475829233715542e-10, 0.5187435887573746]}",0.041792908806294826,-0.7582998458217913,0.0011057666491049044,-0.7465996916435829,0.0011590229158214838,-0.717665959931318,0.004946023385420074,-0.6653319198105714,0.00010849418078218154,-0.7166154311962787,0.005045307524392958,-0.663230862255212,9.71695173508369e-05,-0.7166041065328473,0.005046377803915114,-0.6632082129280885,-0.11023651115721766,-0.6062704258582788,0.0002481083722029598,-0.6036451828108159,0.00010849418078218154,0.0011590229158214838,9.71695173508369e-05
11,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.0,-0.35,554.390902989779,-0.6297472630586454,0.0005059705570920447,-0.489494526042397,"{'env_1': [0.4630144936649515, 1.1569084370536471e-10, 0.5369855062193577], 'env_2': [0.4630144936649515, 1.1569084370536471e-10, 0.5369855062193577]}",0.11966513316690364,-0.749412396225549,7.42710735815605e-05,-0.7288247924510982,0.01615521498949135,-0.6459024780481367,0.0004476896034379206,-0.5218049562935951,4.6878622437684925e-05,-0.629794141681083,0.0005058014395135652,-0.489588283288357,5.0777096853860115e-05,-0.6297980401554992,0.0005057873755220231,-0.4895960802372564,-0.3709531991605816,-0.25879406389806375,3.6170554207348715e-07,-0.2586938007670205,4.6878622437684925e-05,0.01615521498949135,5.0777096853860115e-05
12,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.0,0.0,631.467423044469,0.025984881052727258,4.3338680161910705e-06,0.027353229286726767,"{'env_1': [0.0, 0.0, 1.0], 'env_2': [0.0, 0.0, 1.0]}",0.025984881052727258,-0.0,0.0,0.0,0.024210126286461627,0.0017747547662656296,5.621049325740588e-06,0.0035495095325312593,4.43917258161064e-09,0.025984876613554676,4.328782410083177e-06,0.0273516191502624,0.013503922961630154,0.012480958091097104,3.953001417214256e-05,0.024961916182194205,1.0061396160665481e-16,0.025984881052727157,4.333868016191396e-06,0.02735322928672677,4.43917258161064e-09,0.024210126286461627,0.013503922961630154
13,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.0,0.3499999999999998,107.68032589918332,0.1557323581232466,0.0017984917611303791,0.25256344760599286,"{'env_1': [6.846809484790523e-11, 1.411752126818072e-08, 0.9999999858139812], 'env_2': [6.846809484790523e-11, 1.411752126818072e-08, 0.9999999858139812]}",0.3180384733038369,-0.1623061151805903,0.008930249999999987,0.31849999999999984,0.3180384733445978,-0.1623061152213512,0.008930249994330095,0.31849999965426296,2.273216739845374e-08,0.1557323353910792,0.0017982225039955577,0.25254892802582274,0.14778056625788627,0.007951791865360325,0.005336295603340963,0.29525881669642706,-0.01216589676207916,0.16789825488532575,0.0007761928842095339,0.20968860625148059,2.273216739845374e-08,0.3180384733445978,0.14778056625788627
14,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.0,0.7,50.50271155491955,0.09827997665313892,0.018646463889840894,0.569128470327064,"{'env_1': [9.361055864171747e-10, 1.1580840892947194e-10, 0.9999999989480871], 'env_2': [9.361055864171747e-10, 1.1580840892947194e-10, 0.9999999989480871]}",0.31959901101673804,-0.22131903436359912,0.02172877252500526,0.3273619312728016,0.3195990110321689,-0.22131903437903,0.021728772496442415,0.32736193053612256,2.183518393872319e-08,0.09827995481795498,0.01864627722692215,0.5691237350001118,0.13029235285761498,-0.032012376204476056,0.025059891996148057,0.600783872334901,-0.1519284816584786,0.25020845831161753,0.0035286868146851696,0.339312584496464,2.183518393872319e-08,0.3195990110321689,0.13029235285761498
15,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.3499999999999998,-0.7,9.834216100864364,-0.6994542318685555,0.014347003884957315,-0.6289084635662501,"{'env_1': [0.4831669557169414, 1.7951663950625893e-10, 0.5168330441035421], 'env_2': [0.4831669557169414, 1.7951663950625893e-10, 0.5168330441035421]}",0.04536842315919065,-0.7448226550277461,0.005120356256975278,-0.7196453100554923,0.0008035545880695771,-0.7002577864566251,0.01418358371840498,-0.6305155727708771,0.00010295197542742329,-0.6995571838439829,0.014326066379930254,-0.629114367516202,9.207038320080407e-05,-0.6995463022517563,0.014328279386473469,-0.6290926043316861,-0.1312077740277785,-0.568246457840777,0.001148889082387583,-0.5625972460847154,0.00010295197542742329,0.0008035545880695771,9.207038320080407e-05
16,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.3499999999999998,-0.35,61.47194308249351,-0.6181601493769031,0.004940135066660558,-0.4663202985581093,"{'env_1': [0.48525771698429354, 8.188570890435574e-10, 0.5147422821968494], 'env_2': [0.48525771698429354, 8.188570890435574e-10, 0.5147422821968494]}",0.09074157203219824,-0.7089017214091013,0.0019878427629628176,-0.6478034428182027,0.004818720686864286,-0.6229788700637674,0.004783357177063409,-0.4759577399979279,9.288514221617028e-05,-0.6182530345191193,0.00493711303298805,-0.46650606884128,0.0001074521784609761,-0.6182676015553641,0.004936639092017837,-0.4665352029136976,-0.3951682358371027,-0.22299191353980044,2.9403812548706165e-05,-0.22208815879409927,9.288514221617028e-05,0.004818720686864286,0.0001074521784609761
17,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.3499999999999998,0.0,960.6370111919948,-0.5257569478850149,0.000508502269848979,-0.2815138975389795,"{'env_1': [0.4615194745541894, 1.830821703812617e-10, 0.5384805252627285], 'env_2': [0.4615194745541894, 1.830821703812617e-10, 0.5384805252627285]}",0.20346007150199208,-0.729217019387007,8.49082018240955e-05,-0.6884340387740141,0.02937048194276659,-0.5551274298277815,0.00044735434332636036,-0.3402548601693838,3.7088908680371624e-05,-0.5257940367936953,0.0005084250525239774,-0.2815880753578124,0.00011803993210335317,-0.5258749878171183,0.0005082565163792812,-0.28174997741039726,-0.6519191116722409,0.12616216378722597,1.2040342202424004e-07,0.1262199957789613,3.7088908680371624e-05,0.02937048194276659,0.00011803993210335317
18,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.3499999999999998,0.3499999999999998,919.551513002272,0.41055415320148203,2.0624124616645644e-06,0.41150240045126124,"{'env_1': [2.0609833677286857e-10, 7.323527359494233e-08, 0.9999999265586281], 'env_2': [2.0609833677286857e-10, 7.323527359494233e-08, 0.9999999265586281]}",0.025554153201482244,0.3849999999999998,0.0,0.3849999999999998,0.024335407150535948,0.3862187460509461,2.65074429200059e-06,0.38743749401309174,3.0672977546775115e-08,0.4105541225285045,2.0533830092314956e-06,0.4114982182549605,0.01619863823636658,0.39435551496511545,2.0333341760707763e-05,0.403704292555341,3.89791887656088e-09,0.41055414930356315,2.0624125154911077e-06,0.4115023965780905,3.0672977546775115e-08,0.024335407150535948,0.01619863823636658
19,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.3499999999999998,0.7,143.34542980455743,0.5089132890553817,0.001774517495834781,0.6360977756234499,"{'env_1': [6.834927614308363e-11, 7.73810368435666e-09, 0.9999999921935464], 'env_2': [6.834927614308363e-11, 7.73810368435666e-09, 0.9999999921935464]}",0.44546855131145413,0.06344473774392756,0.008930249999999973,0.7035,0.44546855132987995,0.06344473772550174,0.00893024999831507,0.7034999998609186,3.632411723630824e-07,0.5089129258142093,0.0017751105274443869,0.6361399165677618,0.20422914287759458,0.3046841461777871,0.0052070523406083065,0.6778877240674474,-0.033583742218063484,0.5424970312734452,0.0004380006952322546,0.5738897302298265,3.632411723630824e-07,0.44546855132987995,0.20422914287759458
